OID_,POINT_X,POINT_Y,Profile_ID,Distance (m),Distance (km),ORIG_SEQ,B2,B3,B4,Benthos,Benthos _label,Bathymetrey 
1,271107.0596,6132318.251,3,10,0.01,1,676.5578613,1080.868652,477.5686951,2,Bare Sand,-1.8066348
2,271097.4178,6132315.599,3,20,0.02,2,604.9328003,1003.399109,384.8228149,2,Bare Sand,-1.8811706
3,271087.7759,6132312.946,3,30,0.03,3,555.2445679,946.633606,326.5986938,2,Bare Sand,-1.9557073
4,271078.1341,6132310.294,3,40,0.04,4,528.7052002,915.1853027,297.0435486,2,Bare Sand,-2.06
5,271068.4923,6132307.641,3,50,0.05,5,583.6512451,986.5839233,352.3993835,2,Bare Sand,-2.06
6,271058.8505,6132304.989,3,60,0.06,6,661.9783936,1087.076172,458.6156311,2,Bare Sand,-2.16
7,271049.2087,6132302.337,3,70,0.07,7,668.5228271,1110.234985,486.9129639,2,Bare Sand,-2.22
8,271039.5669,6132299.684,3,80,0.08,8,650.8104858,1077.543457,449.3764954,2,Bare Sand,-2.23
9,271029.925,6132297.032,3,90,0.09,9,640.1880493,1017.370911,393.6589966,2,Bare Sand,-1.98
10,271020.2832,6132294.379,3,100,0.1,10,588.4064941,947.484314,328.6716614,2,Bare Sand,-1.88
11,271010.6414,6132291.727,3,110,0.11,11,510.1690979,871.4855347,259.7539978,2,Bare Sand,-1.89
12,271000.9996,6132289.074,3,120,0.12,12,456.0881958,803.3764648,200.6802979,2,Bare Sand,-1.9
13,270991.3578,6132286.422,3,130,0.13,13,416.0849915,748.4615479,160.7068939,2,Bare Sand,-1.92
14,270981.7159,6132283.77,3,140,0.14,14,369.9138184,696.3079224,134.184021,2,Bare Sand,-2.16
15,270972.0741,6132281.117,3,150,0.15,15,306.4641113,631.098999,101.2375183,2,Bare Sand,-2.4
16,270962.4323,6132278.465,3,160,0.16,16,258.3554382,535.5913086,83.4825668,2,Bare Sand,-2.7
17,270952.7905,6132275.812,3,170,0.17,17,221.0460968,461.1502991,70.3581314,2,Bare Sand,-2.99
18,270943.1487,6132273.16,3,180,0.18,18,170.3549957,383.3363342,54.1103516,2,Bare Sand,-3.29
